,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
0,3.7129825850910744e-06,2.9820881592108735e-05,3.6857700364948994e-06,1.512044657734958e-05,1.5275420868235724e-05,9.403729188011883e-07,0.00012213698307838756,1.5174978369245073e-05,4.792577658801938e-07,7.464589811279566e-06,2.9128650410902057e-05,1.8426267748554233e-06,4.53335968976048e-07,1.829235774486544e-06,7.657800768332693e-06,2.389907345411535e-07,9.54031197312562e-07,3.7188680292905836e-06,1.5035089780669132e-05,1.4884836300625639e-05,5.70259361485121e-08,0.00012364501918459705,0.0001241469003002664,7.661071574896178e-06,0.00012072663958100901,1.1932581539400421e-07,0.00011938654995716839,3.682501798465164e-06,7.630221678843737e-06,1.525947496800861e-05,3.0217713249666515e-05,1.49760505876703e-05,3.0403249172927114e-05
1,7.676791941545825e-06,3.062644498462545e-05,1.5503792459332086e-05,2.9407155018131448e-08,1.5475757241693446e-05,3.847846395179458e-06,0.0001236326778824516,1.537444459181553e-05,3.8487672765334205e-06,1.5466798304323048e-05,6.236649853490808e-05,3.815249559427908e-06,1.9202868011976106e-06,7.686338155966094e-06,3.832498688865032e-06,3.8383959707729124e-06,3.870689034632801e-06,1.548058663672342e-05,3.0679168532900745e-05,1.5186167262801303e-05,6.16099999053755e-05,6.248096577033755e-05,0.00012315762218711074,1.54888368059503e-05,0.00012280074290278283,2.3773728999445958e-07,0.00012326692508852734,7.636322160524321e-06,1.5557937791762577e-05,3.0793517065102114e-05,6.125418577877601e-05,3.081954265976978e-05,6.103285647802766e-05
2,7.670370135935772e-06,7.60822692515504e-06,1.5555140675549625e-05,1.3963258550195555e-08,3.1490738744187065e-05,9.61507681868199e-07,0.00024531461670761407,1.523763193201221e-05,4.864568816410744e-07,3.148566001823084e-05,6.26267673970139e-05,9.58118338157473e-07,4.830404004945207e-07,1.9533744824852417e-06,3.8573354199110595e-06,4.884611387048967e-07,1.9517997899138114e-06,7.991128227229723e-06,3.085578687683809e-05,3.079078961856215e-05,6.303937424169473e-05,0.0001255984450767998,0.00024772868407023905,1.5454493381942433e-05,0.00012150893534731986,9.66678729428552e-07,0.00012201230805286555,7.704651380451377e-06,1.5544841016366614e-05,6.20552752693338e-05,6.18165841691859e-05,3.1061908925882814e-05,6.211642638968602e-05
3,3.852682220716001e-06,1.5139439322723686e-05,1.535579653988266e-05,1.2257951302702957e-07,1.5498279716951248e-05,4.807837146782408e-07,0.00012351243621394937,1.5379039015457314e-05,1.2076728475417795e-07,7.722895905921954e-06,3.132373505641232e-05,4.799479511159379e-07,2.3987596125334476e-07,9.663094521521927e-07,1.9194136639844944e-06,1.2172263639267686e-07,4.850536666769331e-07,3.971233673376791e-06,1.502522384470367e-05,1.5183156013792427e-05,3.24913452064118e-05,0.00012593065225431448,0.00012342526879344806,1.5425384835204497e-05,6.11911329561094e-05,2.4104266975404677e-07,6.121063276115777e-05,3.8847821928719936e-06,7.82190074898637e-06,3.1063223069561924e-05,6.157368245323582e-05,3.093224709752031e-05,6.186997432739334e-05
4,7.733864374492072e-06,4.768491362136415e-07,3.109627973841944e-05,6.10534852615963e-08,3.140872460464375e-05,9.59319291003369e-07,0.00012415412228776403,1.535596910350894e-05,2.42896971729404e-07,1.5669354585845137e-05,6.303966594173289e-05,9.566899299901812e-07,4.823106961562021e-07,1.939731204459966e-06,3.846160390391767e-06,2.417564435460035e-07,9.672201225163856e-07,8.005271224769303e-06,3.076619165556128e-05,1.5173513882223612e-05,3.2600442746162865e-05,0.00012653855300804852,0.00012417135827368772,1.559926373991494e-05,0.00012395943989221357,4.795911627067901e-07,0.00012371712949576708,7.709221207323912e-06,7.954252419414222e-06,3.1034058055948064e-05,6.192689005552154e-05,3.1128239834816006e-05,6.162967378006997e-05
5,1.548747508260417e-05,7.673560052728719e-06,1.54890313046917e-05,1.2440733944129807e-07,3.179367248752948e-05,1.9337984260947923e-06,0.00012346419270526374,1.5324006906838285e-05,4.878741534564238e-07,1.5644990772706053e-05,6.351366082475295e-05,9.691337232175617e-07,4.884879393699911e-07,3.9532216190530356e-06,3.9234753948237795e-06,4.871355369407126e-07,1.9658138171607973e-06,8.040294516464398e-06,3.09742949536515e-05,3.100817936327141e-05,6.175478931415018e-05,0.0001258433587513261,0.00012465543299170544,1.567600584457074e-05,0.00012443347554785223,4.842594553553381e-07,0.00012440814355915662,1.5538029713436433e-05,8.010924838894659e-06,3.1266576213627975e-05,6.235944926856663e-05,3.141404020793975e-05,6.234395176685653e-05
6,7.666203377342115e-06,3.074730384323172e-05,1.5624888678453534e-05,7.63883752235597e-09,3.156063494943376e-05,1.937584652031647e-06,0.00012329805613715865,1.536897786040504e-05,4.829593032196227e-07,7.729760232427347e-06,3.131686137311568e-05,4.799143223957484e-07,4.836608936825514e-07,1.9576428537708957e-06,3.8426711860249866e-06,4.843430121226504e-07,9.718082054324933e-07,7.831327190594585e-06,1.533348113232316e-05,3.0697750584771366e-05,3.132866350477096e-05,0.0002523565978378787,6.116678715197774e-05,1.5651993814360202e-05,6.147095382610025e-05,4.804310686856324e-07,0.00012302466744747403,7.783917246230677e-06,7.761689805696015e-06,1.5554811651184495e-05,6.187103769288793e-05,3.103276565989712e-05,6.221447580008398e-05
7,3.8094482733757163e-06,3.765628971598788e-06,3.881204072774767e-06,6.108380208893489e-08,3.874764587818668e-06,2.413864474899968e-07,3.073035738563825e-05,3.8036558198837603e-06,6.02738939473334e-08,1.9050464916394321e-06,1.5602409120987553e-05,2.401952099194338e-07,6.003403795613642e-08,9.69889323838785e-07,9.580018085960825e-07,1.1986189270529156e-07,2.424402764585291e-07,1.9805096607182266e-06,7.521625852688978e-06,3.738079996060804e-06,1.5797622164774535e-05,6.202935553076128e-05,3.06507894854891e-05,1.9147298928239264e-06,1.5186809784052085e-05,2.3935452689190345e-07,6.077559599616215e-05,1.8850561160852772e-06,1.9269931923360716e-06,7.696974877202104e-06,1.5230401495761134e-05,3.817545276459075e-06,1.529614511865438e-05
8,3.838373123437516e-06,7.703699037646994e-06,7.861457000890154e-06,3.052286845180593e-08,1.597434533482883e-05,4.890947379860059e-07,6.226825077356245e-05,7.759068429314601e-06,2.4371594016840064e-07,3.916411713545563e-06,3.159371971644753e-05,4.884298193090379e-07,2.4297855183853245e-07,9.883328440006718e-07,1.9513521379631866e-06,9.968745184776508e-07,4.985796172151213e-07,4.047864056101682e-06,7.711851232021172e-06,1.538405172377092e-05,3.217040610705532e-05,0.00012842244281343997,6.236711701004764e-05,3.898027267901959e-06,3.1135854221842444e-05,9.876980168026877e-07,6.196472642251637e-05,4.929983542683602e-07,8.000848520708552e-06,3.13918701258299e-05,6.212172351488347e-05,1.5572414620747243e-05,1.565517052501061e-05
9,3.796955940186433e-06,3.7452354617996062e-06,7.77915915548278e-06,1.2150614195167025e-07,7.79460139048821e-06,2.375366893676221e-07,3.0574843088579224e-05,3.7898194028239225e-06,1.2005879005153193e-07,3.862252092661196e-06,1.5430535050975872e-05,4.781192489244067e-07,1.2064464589230102e-07,9.699053522812932e-07,1.90986943021755e-06,6.027353535911614e-08,4.841762330610148e-07,3.953164128533628e-06,7.580290188124793e-06,7.580240079793072e-06,8.103309487349692e-06,6.258459643914072e-05,3.052225867511832e-05,3.866737922145595e-06,3.042906552598001e-05,9.627930713768616e-07,6.095403309927658e-05,1.8945364619487157e-06,3.833555269420142e-06,7.640406972756865e-06,3.051842541275884e-05,7.67754807724215e-06,1.5363482576382072e-05
